2023-07-14 08:50:38.453 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2023-07-14 08:50:39.901 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2023-07-14 08:50:39.914 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2023-07-14 09:14:57.582 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2023-07-14 09:14:59.031 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2023-07-14 09:14:59.043 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2023-07-14 09:40:09.657 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2023-07-14 09:40:10.903 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2023-07-14 09:40:10.914 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2023-07-14 09:45:01.094 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2023-07-14 09:45:02.515 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2023-07-14 09:45:02.527 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2023-07-14 09:56:24.471 [http-nio-8160-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [YyghException(code=20001, msg=令牌不合法)]
2023-07-14 09:57:24.862 [http-nio-8160-exec-9] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [YyghException(code=20001, msg=令牌不合法)]
2023-07-14 09:58:14.888 [http-nio-8160-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [YyghException(code=20001, msg=令牌不合法)]
2023-07-14 14:15:34.477 [http-nio-8160-exec-9] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [YyghException(code=20001, msg=令牌不合法)]
2023-07-14 14:16:09.820 [http-nio-8160-exec-7] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [YyghException(code=20001, msg=令牌不合法)]
2023-07-14 14:16:48.570 [http-nio-8160-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [YyghException(code=20001, msg=令牌不合法)]
2023-07-14 14:17:59.348 [http-nio-8160-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [YyghException(code=20001, msg=令牌不合法)]
2023-07-14 20:07:43.925 [http-nio-8160-exec-10] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [YyghException(code=20001, msg=令牌不合法)]
2023-07-14 20:08:29.484 [http-nio-8160-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [YyghException(code=20001, msg=令牌不合法)]
